<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.29	08:00:00	54.01	54.17	53.82	53.95	1535	0	3
2020.01.29	12:00:00	53.94	54.35	53.65	53.90	2353	0	3
2020.01.29	16:00:00	53.88	53.88	52.84	53.22	4466	0	3
2020.01.29	20:00:00	53.22	53.38	53.03	53.09	1682	0	3
2020.01.30	00:00:00	53.08	53.20	52.97	53.11	729	0	3
2020.01.30	04:00:00	53.12	53.12	52.68	52.84	733	0	3
2020.01.30	08:00:00	52.83	52.85	52.30	52.48	1781	0	3
2020.01.30	12:00:00	52.49	52.53	51.91	52.08	3098	0	3
2020.01.30	16:00:00	52.07	52.69	51.68	51.87	5462	0	3
2020.01.30	20:00:00	51.87	52.98	51.69	52.90	3160	0	3
2020.01.31	00:00:00	52.94	53.36	52.76	52.98	1120	0	3
2020.01.31	04:00:00	52.99	53.29	52.98	53.11	868	0	5
2020.01.31	08:00:00	53.11	53.11	52.42	52.48	1758	0	3
2020.01.31	12:00:00	52.49	52.74	52.18	52.23	3325	0	3
2020.01.31	16:00:00	52.23	52.31	51.09	51.31	5824	0	3
2020.01.31	20:00:00	51.31	51.79	51.04	51.64	3131	0	3
2020.02.03	00:00:00	51.19	51.63	50.64	51.62	2018	0	3
2020.02.03	04:00:00	51.62	51.91	51.21	51.68	1311	0	6
2020.02.03	08:00:00	51.68	51.89	51.28	51.49	3290	0	3
2020.02.03	12:00:00	51.49	51.99	51.28	51.46	3273	0	3
2020.02.03	16:00:00	51.48	51.64	50.00	50.75	6175	0	3
2020.02.03	20:00:00	50.75	51.01	49.92	49.93	2673	0	3
2020.02.04	00:00:00	49.93	50.55	49.73	50.46	1790	0	3
2020.02.04	04:00:00	50.46	50.78	50.36	50.74	1329	0	3
2020.02.04	08:00:00	50.73	51.36	50.50	51.01	2610	0	3
2020.02.04	12:00:00	51.01	51.61	50.66	51.47	3037	0	0
2020.02.04	16:00:00	51.48	51.48	50.10	50.39	5599	0	3
2020.02.04	20:00:00	50.39	50.47	49.49	49.51	2325	0	3
2020.02.05	00:00:00	49.55	50.34	49.55	50.29	1082	0	3
2020.02.05	04:00:00	50.28	50.32	50.07	50.09	969	0	3
2020.02.05	08:00:00	50.09	51.15	49.81	51.00	3594	0	3
2020.02.05	12:00:00	50.99	51.26	50.62	51.06	3389	0	3
2020.02.05	16:00:00	51.05	51.94	50.77	51.74	6375	0	3
2020.02.05	20:00:00	51.74	51.74	50.54	51.27	2809	0	3
2020.02.06	00:00:00	51.27	51.63	51.12	51.56	1255	0	5
2020.02.06	04:00:00	51.57	52.26	51.55	52.17	1474	0	4
2020.02.06	08:00:00	52.16	52.25	51.38	51.49	3010	0	3
2020.02.06	12:00:00	51.49	51.51	50.55	50.64	3552	0	3
2020.02.06	16:00:00	50.63	51.36	50.34	51.10	4920	0	3
2020.02.06	20:00:00	51.09	51.24	50.76	51.21	1739	0	3
2020.02.07	00:00:00	51.22	51.59	51.22	51.36	914	0	5
2020.02.07	04:00:00	51.36	51.44	51.05	51.19	962	0	3
2020.02.07	08:00:00	51.20	51.44	50.94	51.15	2507	0	3
2020.02.07	12:00:00	51.14	51.19	50.31	50.37	3322	0	3
2020.02.07	16:00:00	50.37	51.15	50.24	50.58	4901	0	3
2020.02.07	20:00:00	50.57	50.76	50.41	50.57	1787	0	3
2020.02.10	00:00:00	50.19	50.32	49.72	50.27	1352	0	3
2020.02.10	04:00:00	50.27	50.64	50.27	50.50	925	0	3
2020.02.10	08:00:00	50.50	50.61	50.09	50.20	2352	0	3
2020.02.10	12:00:00	50.20	50.52	50.05	50.16	2612	0	3
2020.02.10	16:00:00	50.15	50.41	49.64	49.71	4349	0	3
2020.02.10	20:00:00	49.71	49.80	49.56	49.78	1510	0	3
2020.02.11	00:00:00	49.77	50.36	49.77	50.34	908	0	3
2020.02.11	04:00:00	50.34	50.43	50.23	50.35	728	0	3
2020.02.11	08:00:00	50.35	50.63	50.10	50.44	2182	0	3
2020.02.11	12:00:00	50.44	50.74	50.27	50.66	2045	0	3
2020.02.11	16:00:00	50.64	50.81	50.06	50.36	3886	0	3
2020.02.11	20:00:00	50.36	50.37	49.91	50.17	1628	0	3
2020.02.12	00:00:00	50.17	50.67	50.17	50.60	694	0	3
2020.02.12	04:00:00	50.60	50.95	50.59	50.79	802	0	3
